task_id,project_id,sprint_id,task_title,task_type,priority_moscow,assignee_role,experience_years,team_size,sprint_length_days,story_points,estimated_hours,actual_hours,dependencies_count,blockers_count,requirement_changes,communication_volume,sentiment_score,ai_suggestion_used,ai_acceptance_rate,override_requested,status,task_success,success_probability
1,45,10,Implement login flow,Feature,Could,Developer,1.0,9,7,5,18.2,17.9,0,0,0,13,0.55,1,0.57,0,Done,1,0.823
2,387,14,Refactor UI component,Bug,Should,Developer,4.7,4,7,5,15.2,19.1,1,1,0,31,-0.08,1,0.31,1,Done,1,0.633
3,328,35,Fix documentation,Documentation,Could,QA,3.1,5,10,8,24.0,26.0,1,1,1,19,-0.18,1,0.71,0,Done,1,0.71
4,220,5,Investigate documentation,Feature,Could,Developer,2.1,3,14,1,5.6,7.8,0,1,1,24,0.26,1,0.62,0,Done,1,0.681
5,217,5,Update permission check,Feature,Should,PM,5.6,3,21,2,10.4,18.0,2,3,1,12,0.09,1,0.76,0,Blocked,0,0.413
6,430,13,Investigate login flow,Bug,Could,Developer,0.2,5,7,8,23.0,30.7,2,2,0,20,0.14,0,0.17,0,Done,1,0.536
7,43,25,Refactor API endpoint,Feature,Should,Developer,0.0,12,10,8,24.1,43.8,4,1,0,36,0.52,1,0.67,0,In Progress,0,0.473
8,349,33,Refactor login flow,Refactor,Could,QA,7.5,8,14,5,15.3,8.4,1,1,0,20,1.0,1,0.49,0,Done,1,0.843
9,101,23,Create documentation,Feature,Should,Developer,4.8,6,21,1,2.6,1.9,1,0,0,25,0.51,0,0.24,0,Done,1,0.851
10,48,20,Update error handling,Chore,Should,PM,4.3,9,14,5,15.4,12.8,1,0,0,30,-0.34,1,0.77,0,Done,1,0.83
11,264,35,Add login flow,Chore,Must,Developer,2.0,4,21,8,31.9,27.7,1,0,1,20,-0.2,0,0.4,0,Done,1,0.804
12,488,7,Refactor login flow,Bug,Should,Developer,6.6,10,7,1,2.2,1.8,2,1,1,7,1.0,0,0.56,0,In Progress,0,0.764
13,368,37,Add UI component,Chore,Should,QA,3.6,10,14,2,8.8,9.0,1,0,1,4,-0.16,0,0.58,0,Done,1,0.788
14,381,13,Improve error handling,Feature,Must,Developer,1.9,3,14,8,22.0,36.7,2,0,1,31,-0.61,1,0.27,0,Done,1,0.606
15,359,12,Improve error handling,Bug,Should,Developer,0.0,9,21,2,5.0,4.9,1,0,2,2,-0.78,1,0.46,0,Done,1,0.753
16,394,39,Add UI component,Refactor,Must,Developer,1.1,12,21,1,1.0,1.7,0,2,1,25,-1.0,1,0.8,0,Done,1,0.513
17,257,26,Optimize UI component,Feature,Should,QA,0.4,10,7,5,14.9,20.4,0,2,0,27,-1.0,0,0.11,1,Done,1,0.5
18,65,18,Update UI component,Feature,Should,Developer,1.2,7,21,5,11.7,13.5,0,0,0,32,1.0,0,0.15,0,Done,1,0.8
19,420,14,Remove API endpoint,Bug,Should,Developer,3.1,12,10,3,9.6,5.0,1,0,0,24,0.41,1,0.48,0,In Progress,0,0.866
20,226,18,Investigate error handling,Bug,Should,Developer,1.4,9,14,5,14.1,10.9,1,0,0,13,0.14,0,0.29,1,Done,1,0.792
21,251,32,Create API endpoint,Refactor,Should,Developer,1.7,7,10,5,11.0,12.0,1,1,0,22,-0.7,1,0.67,0,Done,1,0.71
22,186,7,Refactor API endpoint,Feature,Should,PM,5.1,12,21,2,5.7,12.1,2,1,2,13,-0.17,0,0.59,0,Done,1,0.456
23,92,7,Remove UI component,Feature,Could,PM,4.3,12,10,3,8.2,7.0,0,0,1,17,0.62,0,0.46,0,Done,1,0.837
24,464,13,Investigate database query,Documentation,Must,Developer,0.0,6,10,5,20.2,20.2,3,0,2,23,-0.16,1,0.83,0,Done,1,0.716
25,391,20,Refactor documentation,Feature,Could,QA,5.2,5,10,8,24.6,29.8,0,1,2,13,1.0,0,0.23,0,In Progress,0,0.707
26,322,33,Fix test suite,Documentation,Must,Developer,0.0,8,14,2,2.7,2.0,0,1,0,19,0.32,1,0.87,0,Done,1,0.809
27,202,9,Remove API endpoint,Refactor,Should,QA,0.2,6,14,1,3.9,5.6,0,2,0,15,0.42,0,0.23,0,Done,1,0.591
28,412,32,Implement deployment script,Refactor,Must,Developer,0.0,7,14,8,25.1,31.4,1,0,0,13,0.03,1,0.57,0,Done,1,0.756
29,273,37,Refactor UI component,Feature,Could,Developer,3.5,4,14,13,37.9,49.3,1,1,0,11,0.29,0,0.07,0,Done,1,0.682
30,222,18,Create caching layer,Spike,Must,Developer,4.5,11,14,1,2.4,3.3,1,0,1,9,-0.0,1,0.46,0,Done,1,0.733
31,226,39,Investigate UI component,Spike,Should,Developer,2.4,4,14,13,40.7,57.1,2,0,1,0,0.09,0,0.3,0,Done,1,0.689
32,114,36,Update database query,Refactor,Should,Developer,4.5,6,10,5,12.4,13.2,0,0,1,23,0.04,1,0.76,1,Done,1,0.773
33,47,32,Implement caching layer,Refactor,Must,Developer,2.1,5,14,8,28.5,36.1,4,1,1,33,-0.09,1,0.92,0,Done,1,0.59
34,278,16,Remove UI component,Bug,Won't,Developer,3.9,10,14,1,5.7,4.9,3,0,0,22,0.77,1,0.71,0,To Do,0,0.809
35,444,13,Add permission check,Feature,Must,Developer,2.2,5,14,13,40.1,57.1,1,1,1,19,0.69,1,0.58,0,Done,1,0.657
36,32,35,Create caching layer,Documentation,Must,Developer,2.4,3,14,2,3.0,2.1,3,0,0,7,0.34,1,0.51,0,Done,1,0.813
37,430,18,Add caching layer,Feature,Should,Developer,2.3,4,10,1,6.1,5.7,0,0,1,12,0.09,1,0.69,0,Done,1,0.818
38,414,2,Add deployment script,Bug,Must,Developer,6.5,8,14,8,21.0,13.0,1,1,0,0,0.34,0,0.4,0,Done,1,0.82
39,139,29,Improve error handling,Feature,Should,Developer,1.6,11,14,8,24.5,39.6,1,1,0,12,0.06,1,0.78,0,In Progress,0,0.631
40,316,14,Optimize documentation,Chore,Must,PM,6.7,7,10,3,8.5,9.9,1,2,2,17,0.09,1,0.64,0,Done,1,0.617
